LigandName,TargetName,BindingScore,InterfE
tamoxifen_NKANXQFJJICGDU-QPLCGJKRSA-N,O77103_0_apo,100.90,
acetanilide_FZERHIULMFGESH-UHFFFAOYSA-N,O77103_0_apo,100006.47,
losartan_PSIFNNKUMBGKDQ-UHFFFAOYSA-N,O77103_0_apo,1001.70,
solasulfone_HCCUQCPVNVAHMV-CSBHBGLHSA-N,O77103_0_apo,1001.85,
dichloroacetic_acid_JXTHNDFMNIQAHM-UHFFFAOYSA-N,O77103_0_apo,100101.80,
fluphenazine_decanoate_VIQCGTZFEYDQMR-UHFFFAOYSA-N,O77103_0_apo,10013.69,
vinpocetine_DDNCQMVWWZOMLN-IRLDBZIGSA-N,O77103_0_apo,1003.28,
cinametic_acid_YNUMZJCKFQVSRH-HWKANZROSA-N,O77103_0_apo,100397.50,
tosufloxacin_WUWFMDMBOJLQIV-SNVBAGLBSA-N,O77103_0_apo,10074.52,
floredil_MXVLJFCCQMXEEE-UHFFFAOYSA-N,O77103_0_apo,10077.53,
enoximone_ZJKNESGOIKRXQY-UHFFFAOYSA-N,O77103_0_apo,10083.55,
bromoform_DIKBFYAXUHHXCS-UHFFFAOYSA-N,O77103_0_apo,100880.63,
bromfenac_ZBPLOVFIXSTCRZ-UHFFFAOYSA-N,O77103_0_apo,10089.47,
sitosterol_KZJWDPNRJALLNS-VJSFXXLFSA-N,O77103_0_apo,101.33,
fencibutirol_HPLFQKUIHGZHPH-DZKIICNBSA-N,O77103_0_apo,101.87,
cocaine_ZPUCINDJVBIVPJ-LJISPDSOSA-N,O77103_0_apo,10103.56,
mequinol_NWVVVBRKAWDGAB-UHFFFAOYSA-N,O77103_0_apo,101162.75,
decamethoxine_ZADGGFKUEYIBJC-QXZCWUTFSA-N,O77103_0_apo,10117.57,
xamoterol_DXPOSRCHIDYWHW-AWEZNQCLSA-N,O77103_0_apo,10117.59,
histrelin_HHXHVIJIIXKSOE-QILQGKCVSA-N,O77103_0_apo,1013.83,
pheniramine_IJHNSHDBIRRJRN-HNNXBMFYSA-N,O77103_0_apo,10145.52,
amphotericin_B_APKFDSVGJQXUKY-SKLSDIGGSA-N,O77103_0_apo,1015.03,
tivozanib_SPMVMDHWKHCIDT-UHFFFAOYSA-N,O77103_0_apo,1015.43,
mecillinam_BWWVAEOLVKTZFQ-ISVUSNJMSA-N,O77103_0_apo,10153.91,
