LigandName,TargetName,BindingScore,InterfE
olaparib_FDLYAMZZIXQODN-UHFFFAOYSA-N,Q4QF62_0_apo,10.51,
zaltoprofen_MUXFZBHBYYYLTH-SNVBAGLBSA-N,Q4QF62_0_apo,10002.53,
feclemine_QDMORDTWFMWOFA-XMMPIXPASA-N,Q4QF62_0_apo,10006.84,
(2-benzhydryloxyethyl)diethyl-methylammonium_iodide_IHFMXHPNVAVTCJ-UHFFFAOYSA-N,Q4QF62_0_apo,10006.92,
chlorozotocin_MYBLAOJMRYYKMS-PVFLNQBWSA-N,Q4QF62_0_apo,100093.53,
norgesterone_YPVUHOBTCWJYNQ-SLHNCBLASA-N,Q4QF62_0_apo,1001.75,
dimecrotic_acid_VNLOISSPTMDCIF-SOFGYWHQSA-N,Q4QF62_0_apo,10013.00,
bialamicol_DQNIWUUHJSXGHW-UHFFFAOYSA-N,Q4QF62_0_apo,10018.70,
ethanol_LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Q4QF62_0_apo,100223.27,
perisoxal_XKFIQZCHJUUSBA-HNNXBMFYSA-N,Q4QF62_0_apo,100271.51,
fluoromethylcholine_(18F)_PBVFROWIWWGIFK-KWCOIAHCSA-N,Q4QF62_0_apo,100294.72,
lymecycline_AHEVKYYGXVEWNO-UEPZRUIBSA-N,Q4QF62_0_apo,1003.08,
picotamide_KYWCWBXGRWWINE-UHFFFAOYSA-N,Q4QF62_0_apo,1003.53,
diphenoxylate_HYPPXZBJBPSRLK-UHFFFAOYSA-N,Q4QF62_0_apo,1003.85,
fenoxedil_OBQUKWIVMOIRGG-UHFFFAOYSA-N,Q4QF62_0_apo,10062.97,
epicillin_RPBAFSBGYDKNRG-NJBDSQKTSA-N,Q4QF62_0_apo,10063.10,
ceftobiprole_medocaril_HFTSMHTWUFCYMJ-YIOMYIDASA-N,Q4QF62_0_apo,1007.91,
etimicin_NZGMVSJQULXLHF-QOGHJSHSSA-N,Q4QF62_0_apo,10077.52,
flurotyl_KGPPDNUWZNWPSI-UHFFFAOYSA-N,Q4QF62_0_apo,100806.89,
18-methoxycoronaridine_DB15096,Q4QF62_0_apo,10084.32,
cyclodrine_LMKPHJYTFHAGHK-KRWDZBQOSA-N,Q4QF62_0_apo,10087.57,
doravirine_ZIAOVIPSKUPPQW-UHFFFAOYSA-N,Q4QF62_0_apo,10094.90,
repaglinide_FAEKWTJYAYMJKF-QHCPKHFHSA-N,Q4QF62_0_apo,10109.28,
pitolisant_NNACHAUCXXVJSP-UHFFFAOYSA-N,Q4QF62_0_apo,10128.50,
bietaserpine_WFTSRDISOMSAQC-ZNFOTRSXSA-N,Q4QF62_0_apo,1013.12,
carboprost_DLJKPYFALUEJCK-IIELGFQLSA-N,Q4QF62_0_apo,10132.32,
cyclopenthiazide_BKYKPTRYDKTTJY-ZDUSSCGKSA-N,Q4QF62_0_apo,10142.61,
doconexent_MBMBGCFOFBJSGT-KUBAVDMBSA-N,Q4QF62_0_apo,10147.18,
carbocromen_KLOIYEQEVSIOOO-UHFFFAOYSA-N,Q4QF62_0_apo,10150.11,
dexibuprofen_HEFNNWSXXWATRW-JTQLQIEISA-N,Q4QF62_0_apo,10151.99,
cefminox_JSDXOWVAHXDYCU-VXSYNFHWSA-N,Q4QF62_0_apo,10153.68,
furalazine_RWOLIGKRDWLZSV-OWOJBTEDSA-N,Q4QF62_0_apo,10159.63,
