LigandName,TargetName,BindingScore,InterfE
zolmitriptan_ULSDMUVEXKOYBU-ZDUSSCGKSA-N,E9B7R0_0_apo,10.31,
glycolic_acid_AEMRFAOFKBGASW-UHFFFAOYSA-N,E9B7R0_0_apo,100054.49,
clodantoin_VOGJJBHRUDVEFM-YUMQZZPRSA-N,E9B7R0_0_apo,10008.72,
amodiaquine_OVCDSSHSILBFBN-UHFFFAOYSA-N,E9B7R0_0_apo,10012.81,
depreotide_XXXSJQLZVNKRKX-YQRDHHIGSA-N,E9B7R0_0_apo,10012.87,
triclocarban_ICUTUKXCWQYESQ-UHFFFAOYSA-N,E9B7R0_0_apo,100185.94,
etebenecid_UACOQEQOBAQRDQ-UHFFFAOYSA-N,E9B7R0_0_apo,10029.54,
piperidolate_KTHVBAZBLKXIHZ-IBGZPJMESA-N,E9B7R0_0_apo,10029.95,
pamidronic_acid_WRUUGTRCQOWXEG-UHFFFAOYSA-N,E9B7R0_0_apo,10034.42,
miltefosine_PQLXHQMOHUQAKB-UHFFFAOYSA-N,E9B7R0_0_apo,10035.11,
bolandiol_dipropionate_JFAXVZXNIGIDDA-KDWXAGHCSA-N,E9B7R0_0_apo,10037.47,
triamcinolone_hexacetonide_TZIZWYVVGLXXFV-FLRHRWPCSA-N,E9B7R0_0_apo,1005.98,
tetrazepam_IQWYAQCHYZHJOS-UHFFFAOYSA-N,E9B7R0_0_apo,10056.44,
prasterone_FMGSKLZLMKYGDP-USOAJAOKSA-N,E9B7R0_0_apo,1006.10,
vibegron_DJXRIQMCROIRCZ-XOEOCAAJSA-N,E9B7R0_0_apo,10060.13,
piribedil_OQDPVLVUJFGPGQ-UHFFFAOYSA-N,E9B7R0_0_apo,10066.66,
azanidazole_LHIALLMPKJMSIQ-NSCUHMNNSA-N,E9B7R0_0_apo,100727.67,
orazamide_DVNYTAVYBRSTGK-UHFFFAOYSA-N,E9B7R0_0_apo,100737.07,
ethyl_dibunate_ZAMACTJOCIFTPJ-UHFFFAOYSA-N,E9B7R0_0_apo,10079.91,
fenbenicillin_VZPPEUOYDWPUKO-NHAYFPRASA-N,E9B7R0_0_apo,1008.35,
cytarabine_UHDGCWIWMRVCDJ-CCXZUQQUSA-N,E9B7R0_0_apo,100833.45,
dodecanoic_acid_POULHZVOKOAJMA-UHFFFAOYSA-N,E9B7R0_0_apo,100884.76,
oxycinchophen_XAPRFLSJBSXESP-UHFFFAOYSA-N,E9B7R0_0_apo,10090.35,
tenidap_LXIKEPCNDFVJKC-QXMHVHEDSA-N,E9B7R0_0_apo,10106.11,
peramivir_XRQDFNLINLXZLB-CKIKVBCHSA-N,E9B7R0_0_apo,1011223.34,
