LigandName,TargetName,BindingScore,InterfE
difluprednate_WYQPLTPSGFELIB-JTQPXKBDSA-N,A0A504XCW5_0_apo,100.38,
bifemelane_QSQQPMHPCBLLGX-UHFFFAOYSA-N,A0A504XCW5_0_apo,1000.91,
tilidine_WDEFBBTXULIOBB-NVXWUHKLSA-N,A0A504XCW5_0_apo,10008.09,
pirprofen_PIDSZXPFGCURGN-VIFPVBQESA-N,A0A504XCW5_0_apo,10012.48,
streptomycin_UCSJYZPVAKXKNQ-HZYVHMACSA-N,A0A504XCW5_0_apo,1002.35,
cefadroxil_BOEGTKLJZSQCCD-UEKVPHQBSA-N,A0A504XCW5_0_apo,1003.40,
pentoxifylline_BYPFEZZEUUWMEJ-UHFFFAOYSA-N,A0A504XCW5_0_apo,10036.98,
furaltadone_YVQVOQKFMFRVGR-LLUUXILJSA-N,A0A504XCW5_0_apo,10072.09,
isosorbide_KLDXJTOLSGUMSJ-JGWLITMVSA-N,A0A504XCW5_0_apo,10076.12,
loratadine_JCCNYMKQOSZNPW-UHFFFAOYSA-N,A0A504XCW5_0_apo,1008.86,
ramipril_HDACQVRGBOVJII-JBDAPHQKSA-N,A0A504XCW5_0_apo,1008.90,
mexiletine_VLPIATFUUWWMKC-JTQLQIEISA-N,A0A504XCW5_0_apo,10082.65,
aminopterin_TVZGACDUOSZQKY-LBPRGKRZSA-N,A0A504XCW5_0_apo,1009.40,
nadolol_VWPOSFSPZNDTMJ-BPLDGKMQSA-N,A0A504XCW5_0_apo,101.41,
benserazide_BNQDCRGUHNALGH-LURJTMIESA-N,A0A504XCW5_0_apo,10108.16,
homocamfin_XHJJEWBMBSQVCJ-SECBINFHSA-N,A0A504XCW5_0_apo,1011.76,
sultamicillin_OPYGFNJSCUDTBT-PMLPCWDUSA-N,A0A504XCW5_0_apo,1011.79,
guaiacol_LHGVFZTZFXWLCP-UHFFFAOYSA-N,A0A504XCW5_0_apo,10128.83,
myrtecaine_BZRYYBWNOUALTQ-HOTGVXAUSA-N,A0A504XCW5_0_apo,1013.06,
sulbentine_QFVAWNPSRQWSDU-UHFFFAOYSA-N,A0A504XCW5_0_apo,10133.89,
benzyl_alcohol_WVDDGKGOMKODPV-UHFFFAOYSA-N,A0A504XCW5_0_apo,101336.77,
omarigliptin_MKMPWKUAHLTIBJ-ISTRZQFTSA-N,A0A504XCW5_0_apo,1014.76,
