LigandName,TargetName,BindingScore,InterfE
zolmitriptan_ULSDMUVEXKOYBU-ZDUSSCGKSA-N,Q4QGT7_0_apo,0.95,
estradiol_VOXZDWNPVJITMN-ZBRFXRBCSA-N,Q4QGT7_0_apo,1.82,
fosamprenavir_MLBVMOWEQCZNCC-OEMFJLHTSA-N,Q4QGT7_0_apo,100.45,
penmesterol_ZUBDXGHKAAMAAA-RFXJPFPRSA-N,Q4QGT7_0_apo,100.79,
ricinoleic_acid_WBHHMMIMDMUBKC-QJWNTBNXSA-N,Q4QGT7_0_apo,100067.52,
fondaparinux_KANJSNBRCNMZMV-ABRZTLGGSA-N,Q4QGT7_0_apo,10008.23,
iobenguane_(123I)_PDWUPXJEEYOOTR-IUAIQHPESA-N,Q4QGT7_0_apo,10009.24,
omarigliptin_MKMPWKUAHLTIBJ-ISTRZQFTSA-N,Q4QGT7_0_apo,1001.82,
floredil_MXVLJFCCQMXEEE-UHFFFAOYSA-N,Q4QGT7_0_apo,10015.46,
edatrexate_FSIRXIHZBIXHKT-NHYWBVRUSA-N,Q4QGT7_0_apo,1002.54,
oftasceine_DEGAKNSWVGKMLS-UHFFFAOYSA-N,Q4QGT7_0_apo,10031.27,
plazomicin_IYDYFVUFSPQPPV-PEXOCOHZSA-N,Q4QGT7_0_apo,10032.85,
darifenacin_HXGBXQDTNZMWGS-RUZDIDTESA-N,Q4QGT7_0_apo,1004.44,
bagrosin_ALBRKUHVWDVWRO-SFHVURJKSA-N,Q4QGT7_0_apo,10042.13,
budesonide_VOVIALXJUBGFJZ-AMTWPJRWSA-N,Q4QGT7_0_apo,1005.20,
guanabenz_WDZVGELJXXEGPV-YIXHJXPBSA-N,Q4QGT7_0_apo,10052.19,
sugammadex_WHRODDIHRRDWEW-VTHZAVIASA-N,Q4QGT7_0_apo,1006.71,
chlorbenzoxamine_VEVSKUJZSMGTMM-HHHXNRCGSA-N,Q4QGT7_0_apo,10061.11,
doravirine_ZIAOVIPSKUPPQW-UHFFFAOYSA-N,Q4QGT7_0_apo,10063.22,
moperone_AGAHNABIDCTLHW-UHFFFAOYSA-N,Q4QGT7_0_apo,1007.86,
furonazide_GNDPAVKYAUIVEB-NTEUORMPSA-N,Q4QGT7_0_apo,10073.40,
octacaine_HKOURKRGAFKVFP-LBPRGKRZSA-N,Q4QGT7_0_apo,10075.48,
homatropine_ZTVIKZXZYLEVOL-CBBWQLFWSA-N,Q4QGT7_0_apo,1007531.33,
peramivir_XRQDFNLINLXZLB-CKIKVBCHSA-N,Q4QGT7_0_apo,1007941.74,
cinametic_acid_YNUMZJCKFQVSRH-HWKANZROSA-N,Q4QGT7_0_apo,100833.69,
methionine_FFEARJCKVFRZRR-BYPYZUCNSA-N,Q4QGT7_0_apo,100868.73,
exisulind_MVGSNCBCUWPVDA-MFOYZWKCSA-N,Q4QGT7_0_apo,10089.45,
