LigandName,TargetName,BindingScore,InterfE
nilvadipine_FAIIFDPAEUKBEP-INIZCTEOSA-N,A0A640KHA5_0_apo,10007.63,
potassium_canrenoate_PBKZPPIHUVSDNM-WNHSNXHDSA-N,A0A640KHA5_0_apo,10010.12,
aprepitant_ATALOFNDEOCMKK-OITMNORJSA-N,A0A640KHA5_0_apo,10013.65,
haloxazolam_XDKCGKQHVBOOHC-KRWDZBQOSA-N,A0A640KHA5_0_apo,10013.66,
tamibarotene_MUTNCGKQJGXKEM-UHFFFAOYSA-N,A0A640KHA5_0_apo,10020.47,
lascufloxacin_ZFIOCUITTUUVPV-MEDUHNTESA-N,A0A640KHA5_0_apo,10034.79,
stearic_acid_QIQXTHQIDYTFRH-UHFFFAOYSA-N,A0A640KHA5_0_apo,100348.17,
prednimustine_HFVNWDWLWUCIHC-GUPDPFMOSA-N,A0A640KHA5_0_apo,10042.68,
methocarbamol_GNXFOGHNGIVQEH-QMMMGPOBSA-N,A0A640KHA5_0_apo,10045.75,
pridinol_RQXCLMGKHJWMOA-UHFFFAOYSA-N,A0A640KHA5_0_apo,10047.42,
flunitrazepam_PPTYJKAXVCCBDU-UHFFFAOYSA-N,A0A640KHA5_0_apo,10051.12,
azintamide_SSLKKMZJCJBOML-UHFFFAOYSA-N,A0A640KHA5_0_apo,100516.30,
ciclosidomine_AJPLPOWGYORUIF-UHFFFAOYSA-N,A0A640KHA5_0_apo,100649.14,
chlorothiazide_JBMKAUGHUNFTOL-UHFFFAOYSA-N,A0A640KHA5_0_apo,1007.28,
chloroprocaine_VDANGULDQQJODZ-UHFFFAOYSA-N,A0A640KHA5_0_apo,100703.84,
pyrithione_FGVVTMRZYROCTH-UHFFFAOYSA-N,A0A640KHA5_0_apo,100766.62,
phenprocoumon_DQDAYGNAKTZFIW-CYBMUJFWSA-N,A0A640KHA5_0_apo,1007743.55,
febuxostat_BQSJTQLCZDPROO-UHFFFAOYSA-N,A0A640KHA5_0_apo,1009.59,
oxybenzone_DXGLGDHPHMLXJC-UHFFFAOYSA-N,A0A640KHA5_0_apo,10090.64,
proline_ONIBWKKTOPOVIA-BYPYZUCNSA-N,A0A640KHA5_0_apo,100949.98,
enviomycin_HPWIIERXAFODPP-MYIPQGGFSA-N,A0A640KHA5_0_apo,10103.28,
bicalutamide_LKJPYSCBVHEWIU-KRWDZBQOSA-N,A0A640KHA5_0_apo,1012.54,
loxoprofen_YMBXTVYHTMGZDW-ZWNOBZJWSA-N,A0A640KHA5_0_apo,1013500.01,
brilliant_Blue_G_YVNQAIFQFWTPLQ-UHFFFAOYSA-M,A0A640KHA5_0_apo,1014.95,
dodecanoic_acid_POULHZVOKOAJMA-UHFFFAOYSA-N,A0A640KHA5_0_apo,101469.07,
trospectomycin_KHAUBYTYGDOYRU-IRXASZMISA-N,A0A640KHA5_0_apo,101473.61,
ethyl_dibunate_ZAMACTJOCIFTPJ-UHFFFAOYSA-N,A0A640KHA5_0_apo,10155.47,
hydrocodone_LLPOLZWFYMWNKH-CMKMFDCUSA-N,A0A640KHA5_0_apo,1016.44,
