Ligand-Name,Target-Name,Binding-Score,InterfE
nicotinic_acid_PVNIIMVLHYAWGP-UHFFFAOYSA-N,O15922.0.apo,176995.79,-5.1
valine_KZSNJWFQEVHDMF-BYPYZUCNSA-N,O15922.0.apo,186978.4,-4.4
foscarnet_ZJAOAACCNHFJAH-UHFFFAOYSA-N,O15922.0.apo,187223.89,-4.4
prenderol_XRVCFZPJAHWYTB-UHFFFAOYSA-N,O15922.0.apo,187888.64,-4.0
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,O15922.0.apo,187967.19,-5.1
chlorzoxazone_TZFWDZFKRBELIQ-UHFFFAOYSA-N,O15922.0.apo,193257.8,-5.0
telmesteine_XBJWOGLKABXFJE-YFKPBYRVSA-N,O15922.0.apo,200560.06,-4.8
amitriptylinoxide_ZPMKQFOGINQDAM-UHFFFAOYSA-N,O15922.0.apo,201250.45,-7.4
ferric_oxide_JEIPFZHSYJVQDO-UHFFFAOYSA-N,O15922.0.apo,201478.71,-3.9
isoniazid_QRXWMOHMRWLFEY-UHFFFAOYSA-N,O15922.0.apo,202149.13,-5.1
carfimate_MTTYXGPMZKRTCI-VIFPVBQESA-N,O15922.0.apo,212463.61,-5.3
cyclizine_UVKZSORBKUEBAZ-UHFFFAOYSA-N,O15922.0.apo,212868.82,-6.3
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,O15922.0.apo,214308.05,-4.3
fludeoxyglucose_(18F)_ZCXUVYAZINUVJD-AHXZWLDOSA-N,O15922.0.apo,226920.42,-5.4
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,O15922.0.apo,227492.12,-6.4
mannitol_FBPFZTCFMRRESA-KVTDHHQDSA-N,O15922.0.apo,230443.49,-4.7
sorbitol_FBPFZTCFMRRESA-JGWLITMVSA-N,O15922.0.apo,232715.44,-4.6
tribromoethanol_YFDSDPIBEUFTMI-UHFFFAOYSA-N,O15922.0.apo,233017.34,-3.4
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,O15922.0.apo,234352.29,-4.7
sucrose_CZMRCDWAGMRECN-UGDNZRGBSA-N,O15922.0.apo,235674.32,-5.8
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,O15922.0.apo,237969.1,-4.3
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,O15922.0.apo,254711.33,-5.0
glucosamine_MSWZFWKMSRAUBD-QZABAPFNSA-N,O15922.0.apo,255927.32,-5.1
oxilofrine_OXFGTKPPFSCSMA-XVKPBYJWSA-N,O15922.0.apo,277912.86,-6.4
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,O15922.0.apo,278080.72,-5.8
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,O15922.0.apo,293421.03,-4.4
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,O15922.0.apo,298072.89,-4.1
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,O15922.0.apo,310879.72,-4.6
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,O15922.0.apo,316010.22,-6.0
isoleucine_AGPKZVBTJJNPAG-WHFBIAKZSA-N,O15922.0.apo,319347.66,-4.4
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,O15922.0.apo,324737.22,-3.5
thiamine_JZRWCGZRTZMZEH-UHFFFAOYSA-N,O15922.0.apo,333004.46,-6.2
oxaceprol_BAPRUDZDYCKSOQ-RITPCOANSA-N,O15922.0.apo,351534.74,-5.0
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,O15922.0.apo,354303.12,-4.5
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,O15922.0.apo,359910.35,-7.6
adenosine_phosphate_UDMBCSSLTHHNCD-KQYNXXCUSA-N,O15922.0.apo,368914.21,-7.3
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,O15922.0.apo,384358.43,-5.1
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,O15922.0.apo,488176.29,-5.0
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,O15922.0.apo,596197.37,-6.9
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,O15922.0.apo,670351.25,-5.1
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,O15922.0.apo,902828.81,-4.8
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,O15922.0.apo,1247444.1,-4.9
